district,crop,pattam,soil_type,irrigation_type,land_area_acres,temperature,humidity,rainfall_mm,soil_ph,soil_n,soil_p,soil_k,soil_ec,soil_organic_carbon,yield_per_acre,total_production_kg
Sivaganga,Black Pepper,Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Sprinkler,21.66,25.3,74.9,2712.3,6.26,123.9,46.5,132.1,0.29,0.84,1389.88,30104.8
Dindigul,Pumpkin,Chithirai Pattam (Summer),Sandy Soil,Drip Irrigation,20.11,25.3,62.2,621.6,6.79,94.7,26.7,67.2,0.37,0.49,14322.01,288015.62
Tiruchirappalli,Cabbage,Aadi Pattam (Monsoon Sowing),Sandy Soil,Canal Irrigation,7.32,16.8,68.8,780.7,6.02,123.2,117.0,106.7,0.6,1.04,18441.68,134993.1
Vellore,Cardamom,Chithirai Pattam (Summer),Red Loam,Rainfed,20.98,19.2,93.7,2571.8,5.79,37.0,78.5,133.5,1.75,1.04,287.07,6022.73
Kanniyakumari,Amla (Indian Gooseberry),Aadi Pattam (Monsoon Sowing),Sandy Soil,Sprinkler,12.29,25.7,74.1,736.2,8.14,140.0,137.5,188.1,1.58,1.03,7633.95,93821.25
Thanjavur,Green Gram,Chithirai Pattam (Summer),Sandy Soil,Drip Irrigation,23.2,35.7,52.9,573.6,7.26,38.3,62.9,5.0,1.46,0.56,438.98,10184.34
Vellore,Snake Gourd,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Canal Irrigation,5.15,33.4,73.3,565.1,6.85,46.1,39.4,5.0,0.55,0.39,7793.96,40138.89
Tiruvarur,Cucumber,Chithirai Pattam (Summer),Laterite Soil,Well / Tube Well,1.73,26.6,87.6,375.3,5.96,44.5,31.0,66.0,0.96,1.04,4741.99,8203.64
Karur,Okra (Bhendi),Chithirai Pattam (Summer),Clay Loam,Canal Irrigation,2.18,33.1,56.2,651.2,6.96,84.0,34.0,41.7,0.31,1.0,7720.66,16831.04
Erode,Ginger,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Rainfed,15.07,25.4,87.0,1679.5,5.59,115.0,25.6,46.2,1.19,0.66,8324.9,125456.24
Viluppuram,Radish,Samba / Thaladi (Main Rice Season),Laterite Soil,Drip Irrigation,5.5,23.5,65.5,400.3,6.53,42.6,30.3,48.9,1.35,0.53,10175.91,55967.5
Kallakurichi,Ginger,Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Sprinkler,8.25,28.1,77.8,1636.9,6.43,59.5,43.0,68.7,1.4,0.4,8230.9,67904.93
Viluppuram,Tomato,Chithirai Pattam (Summer),Clay Loam,Rainfed,5.72,24.9,83.3,814.1,6.23,170.5,94.9,94.6,0.62,1.05,15558.17,88992.73
Cuddalore,Jasmine (Mullai / Madurai Malli),Aadi Pattam (Monsoon Sowing),Laterite Soil,Drip Irrigation,4.36,31.9,83.7,997.6,7.01,140.5,221.4,248.1,1.53,0.88,4487.24,19564.37
Tiruvannamalai,French Beans,Chithirai Pattam (Summer),Alluvial,Well / Tube Well,23.5,20.8,58.2,721.4,7.09,37.4,52.2,79.0,0.41,0.44,3626.75,85228.62
Vellore,Kodo Millet,Aadi Pattam (Monsoon Sowing),Alluvial,Drip Irrigation,15.32,31.2,67.9,575.4,6.25,40.8,16.6,54.4,1.35,0.5,1080.55,16554.03
Namakkal,Green Peas,Samba / Thaladi (Main Rice Season),Clay Soil,Drip Irrigation,22.68,13.1,73.0,486.4,6.5,31.8,63.7,56.1,1.55,0.42,4075.38,92429.62
Perambalur,Black Pepper,Chithirai Pattam (Summer),Red Loam,Drip Irrigation,19.39,21.9,50.6,2277.8,5.12,82.0,37.9,147.8,1.22,0.55,1381.78,26792.71
Tiruchirappalli,Cucumber,Samba / Thaladi (Main Rice Season),Sandy Soil,Rainfed,0.74,30.5,67.8,505.8,6.15,49.8,27.8,38.1,0.32,1.01,7446.08,5510.1
Tiruvarur,Black Gram,Chithirai Pattam (Summer),Laterite Soil,Rainfed,14.04,32.3,66.7,733.9,7.33,29.3,45.0,30.6,0.89,0.38,434.98,6107.12
Chennai,Tapioca (Cassava),Purattasi Pattam (Autumn),Black Cotton Soil,Canal Irrigation,16.84,30.3,68.3,1007.2,6.47,68.1,62.0,153.8,0.77,0.77,22765.66,383373.71
Theni,Drumstick (Moringa),Samba / Thaladi (Main Rice Season),Sandy Loam,Canal Irrigation,21.68,33.1,94.3,622.0,6.64,59.3,42.5,21.9,1.76,0.96,11677.42,253166.47
Theni,Jasmine (Mullai / Madurai Malli),Chithirai Pattam (Summer),Sandy Loam,Drip Irrigation,19.67,26.3,72.1,918.0,7.84,148.5,205.4,217.5,0.86,0.85,3420.02,67271.79
Kanniyakumari,Cucumber,Purattasi Pattam (Autumn),Sandy Loam,Well / Tube Well,9.87,22.9,82.2,744.8,6.39,28.6,40.2,27.1,0.26,0.7,6034.04,59555.97
Tirunelveli,Bengal Gram,Purattasi Pattam (Autumn),Alluvial,Canal Irrigation,5.96,15.9,68.1,353.1,7.52,17.7,46.2,5.0,1.26,0.65,668.3,3983.07
Cuddalore,Sunflower,Kar (Early Monsoon),Alluvial,Drip Irrigation,16.22,27.9,76.5,661.7,6.74,37.0,118.7,68.3,0.84,1.09,927.13,15038.05
Salem,Cabbage,Chithirai Pattam (Summer),Clay Loam,Drip Irrigation,4.87,23.9,82.2,663.9,6.53,227.3,143.9,118.8,1.74,0.55,26284.02,128003.18
Thoothukudi,Kodo Millet,Purattasi Pattam (Autumn),Laterite Soil,Sprinkler,15.35,31.3,56.4,664.2,6.96,50.6,11.2,5.0,1.02,0.64,544.33,8355.47
Madurai,Carrot,Purattasi Pattam (Autumn),Red Loam,Sprinkler,0.54,16.1,86.0,736.1,6.53,70.4,32.7,47.4,1.68,0.75,10233.77,5526.24
Madurai,Muskmelon,Purattasi Pattam (Autumn),Sandy Soil,Well / Tube Well,23.75,32.3,43.2,446.1,6.71,33.7,35.0,59.2,1.67,0.82,10381.27,246555.16
Erode,Bitter Gourd,Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Rainfed,8.08,27.2,67.2,522.9,6.93,45.2,45.0,26.7,0.85,0.65,4860.49,39272.76
Vellore,Castor,Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Sprinkler,16.79,28.6,61.4,375.8,6.21,67.1,30.3,12.5,0.81,0.91,597.43,10030.85
Viluppuram,Red Gram,Purattasi Pattam (Autumn),Sandy Soil,Rainfed,20.93,27.1,75.4,698.5,7.59,21.7,42.8,18.1,0.69,0.51,543.0,11364.99
Virudhunagar,Papaya,Samba / Thaladi (Main Rice Season),Laterite Soil,Sprinkler,11.32,22.7,87.7,1564.0,6.39,228.8,215.6,327.0,1.28,0.73,44550.76,504314.6
Karur,Papaya,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Drip Irrigation,13.13,27.6,48.7,1285.3,6.59,162.2,128.9,233.8,1.21,0.6,32649.21,428684.13
Kanniyakumari,Grapes,Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Canal Irrigation,20.26,30.9,67.9,755.8,7.67,203.9,117.7,338.1,0.44,0.38,13456.25,272623.62
Cuddalore,Onion,Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Rainfed,5.26,19.9,57.5,602.2,6.08,73.9,88.6,25.0,1.31,0.72,5711.18,30040.81
Kancheepuram,Groundnut,Navarai / Sornavari (Summer Rice & Pulses),Red Loam,Well / Tube Well,19.57,25.7,60.9,566.5,6.36,25.3,39.6,81.8,0.55,0.95,1408.91,27572.37
Tiruvannamalai,Snake Gourd,Thai Pattam (Winter / Post-Monsoon),Red Loam,Rainfed,6.61,28.2,61.1,541.1,6.84,67.5,30.2,42.5,1.56,0.69,9066.0,59926.26
Tirunelveli,Pomegranate,Navarai / Sornavari (Summer Rice & Pulses),Laterite Soil,Sprinkler,15.51,22.2,60.0,715.2,7.51,202.3,68.6,209.3,1.35,0.73,5114.54,79326.52
Vellore,Cashew,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Sprinkler,11.53,29.9,75.7,1291.5,5.0,196.7,69.7,83.7,1.4,0.98,1156.71,13336.87
Tiruvannamalai,Sunflower,Thai Pattam (Winter / Post-Monsoon),Black Cotton Soil,Drip Irrigation,11.28,24.5,80.1,553.9,6.99,72.5,64.6,73.2,1.34,0.53,1100.25,12410.82
Ranipet,Banana,Samba / Thaladi (Main Rice Season),Clay Loam,Canal Irrigation,4.2,17.8,74.9,1604.4,6.91,218.6,42.5,302.2,0.81,0.46,31380.63,131798.65
Cuddalore,Cowpea,Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Drip Irrigation,13.79,32.6,72.1,605.5,6.56,22.0,44.6,34.9,0.87,0.51,666.77,9194.76
Thanjavur,Coriander,Kar (Early Monsoon),Red Loam,Rainfed,9.82,22.5,78.5,674.0,7.1,39.0,35.9,5.0,0.21,0.61,286.0,2808.52
Thanjavur,Mango,Kar (Early Monsoon),Sandy Soil,Rainfed,18.81,23.5,68.2,1057.8,7.25,432.7,189.0,420.7,1.07,0.8,6115.48,115032.18
Tiruppur,Horse Gram,Aadi Pattam (Monsoon Sowing),Alluvial,Sprinkler,12.4,27.8,50.3,492.5,7.01,21.7,35.8,45.8,0.82,0.85,526.95,6534.18
The Nilgiris,Pomegranate,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Sprinkler,23.03,28.6,62.5,679.8,6.87,301.9,98.2,251.8,1.77,0.75,7336.28,168954.53
Virudhunagar,Ginger,Samba / Thaladi (Main Rice Season),Red Loam,Well / Tube Well,16.25,26.7,80.5,1640.0,5.92,69.9,37.8,38.9,0.42,0.7,8536.03,138710.49
Namakkal,Pearl Millet,Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Canal Irrigation,11.64,35.1,78.4,339.3,7.86,88.3,58.8,20.7,0.74,1.01,1256.59,14626.71
Theni,Sunflower,Purattasi Pattam (Autumn),Clay Loam,Sprinkler,0.97,21.3,75.9,779.5,7.22,64.2,64.7,121.1,1.06,1.1,657.0,637.29
Nagapattinam,Coconut,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Well / Tube Well,18.98,28.4,73.8,1837.1,6.7,449.3,357.7,1247.1,1.72,0.5,10694.43,202980.28
Kancheepuram,Maize,Aadi Pattam (Monsoon Sowing),Sandy Loam,Sprinkler,16.9,32.1,56.1,588.7,6.69,152.1,82.8,17.7,1.1,0.51,3588.25,60641.42
Namakkal,Snake Gourd,Kar (Early Monsoon),Laterite Soil,Canal Irrigation,15.34,28.4,55.9,598.8,5.76,72.3,40.7,7.8,1.74,0.89,6766.71,103801.33
Karur,Guava,Purattasi Pattam (Autumn),Clay Loam,Rainfed,1.13,25.3,64.9,1100.3,6.57,234.6,139.8,182.6,0.7,0.86,8847.4,9997.56
The Nilgiris,Turmeric,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Well / Tube Well,15.01,26.7,90.2,1383.5,7.26,111.9,43.4,214.3,1.53,0.53,11442.13,171746.37
Ramanathapuram,Snake Gourd,Kar (Early Monsoon),Clay Loam,Rainfed,19.67,29.0,70.4,647.1,6.44,51.4,34.5,39.2,0.76,0.67,7746.47,152373.06
Cuddalore,Tapioca (Cassava),Samba / Thaladi (Main Rice Season),Laterite Soil,Well / Tube Well,21.31,27.5,64.9,1112.8,6.93,16.9,63.6,131.2,1.52,0.43,17559.63,374195.72
Tirunelveli,Tapioca (Cassava),Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Sprinkler,4.82,28.8,51.1,1055.4,5.9,36.1,71.9,123.4,1.03,0.84,18637.11,89830.87
Tiruvarur,French Beans,Kar (Early Monsoon),Clay Soil,Sprinkler,11.17,23.0,61.7,514.5,6.37,34.7,88.4,44.0,1.37,0.55,4357.7,48675.51
Kanniyakumari,Amla (Indian Gooseberry),Kar (Early Monsoon),Clay Loam,Drip Irrigation,22.1,31.0,63.7,803.3,8.27,145.9,173.1,214.8,0.59,0.7,10423.97,230369.74
Thanjavur,French Beans,Purattasi Pattam (Autumn),Red Loam,Sprinkler,21.35,21.6,79.1,499.9,6.07,43.5,94.7,32.4,0.49,0.51,3662.47,78193.73
Namakkal,Pomegranate,Purattasi Pattam (Autumn),Alluvial,Rainfed,17.68,22.6,52.6,722.7,8.04,119.9,178.0,255.3,0.64,0.36,4463.06,78906.9
Dharmapuri,Bengal Gram,Aadi Pattam (Monsoon Sowing),Sandy Soil,Sprinkler,14.1,19.6,67.5,472.9,8.0,20.6,41.5,10.9,0.58,0.71,586.01,8262.74
Tiruppur,Watermelon,Thai Pattam (Winter / Post-Monsoon),Red Loam,Well / Tube Well,7.71,32.1,51.8,269.8,7.08,62.6,38.2,60.5,0.85,0.53,14868.76,114638.14
Virudhunagar,Bitter Gourd,Purattasi Pattam (Autumn),Clay Soil,Rainfed,13.51,27.1,70.4,556.6,6.06,66.1,23.0,65.7,0.88,0.91,6160.46,83227.81
Sivaganga,Banana,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Drip Irrigation,8.01,27.4,88.0,1817.9,7.46,108.0,34.0,284.4,0.57,0.89,21373.43,171201.17
Erode,Sugarcane,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Canal Irrigation,5.8,30.8,70.2,1512.9,6.91,233.0,42.1,91.9,0.97,0.89,46882.87,271920.65
Tiruvannamalai,Mango,Samba / Thaladi (Main Rice Season),Alluvial,Well / Tube Well,20.9,26.6,56.6,1226.4,7.68,449.3,209.2,378.5,0.67,0.62,6006.0,125525.4
Ariyalur,Cotton,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Drip Irrigation,1.62,28.0,98.0,764.6,7.46,154.5,49.5,59.1,0.29,0.57,1522.09,2465.79
Tiruppur,Foxtail Millet,Chithirai Pattam (Summer),Red Loam,Rainfed,7.47,26.8,76.5,642.5,6.5,46.3,24.9,45.5,0.97,0.61,844.82,6310.81
Namakkal,Pearl Millet,Kar (Early Monsoon),Clay Soil,Well / Tube Well,20.64,30.0,67.1,420.3,7.53,83.6,26.6,49.5,0.84,0.41,1533.78,31657.22
Coimbatore,Green Peas,Aadi Pattam (Monsoon Sowing),Sandy Loam,Rainfed,23.75,18.0,78.0,654.7,6.96,39.3,35.1,60.7,0.34,0.54,3004.03,71345.71
Theni,Cauliflower,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Rainfed,9.82,19.5,55.0,496.8,6.97,148.5,117.0,125.7,1.65,0.57,11134.33,109339.12
Thoothukudi,Radish,Purattasi Pattam (Autumn),Red Loam,Rainfed,24.02,25.8,69.2,413.1,6.54,44.6,23.1,45.6,0.36,0.92,7967.95,191390.16
Mayiladuthurai,Green Peas,Purattasi Pattam (Autumn),Clay Loam,Canal Irrigation,6.38,20.4,65.8,417.6,6.55,54.5,62.9,75.8,1.08,0.47,5333.64,34028.62
Tiruchirappalli,Coriander,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Drip Irrigation,1.3,22.4,69.0,531.8,7.73,26.1,54.1,77.5,0.66,0.56,477.21,620.37
Tirunelveli,Drumstick (Moringa),Chithirai Pattam (Summer),Black Cotton Soil,Drip Irrigation,19.8,28.4,87.0,774.4,6.76,67.1,46.5,41.4,1.2,0.85,11532.23,228338.15
Thoothukudi,Bengal Gram,Chithirai Pattam (Summer),Black Cotton Soil,Canal Irrigation,22.76,18.0,67.6,332.9,7.61,27.8,30.0,44.6,1.52,0.4,782.27,17804.47
Ramanathapuram,Green Gram,Samba / Thaladi (Main Rice Season),Alluvial,Sprinkler,3.55,29.3,54.5,606.0,7.02,26.0,56.2,32.2,1.3,0.87,670.04,2378.64
Tiruvallur,Sunflower,Samba / Thaladi (Main Rice Season),Clay Soil,Sprinkler,2.47,25.3,60.5,536.3,7.0,50.4,116.8,95.5,0.26,0.67,907.13,2240.61
Namakkal,Sugarcane,Chithirai Pattam (Summer),Clay Loam,Canal Irrigation,24.07,26.1,61.4,1656.6,7.53,289.0,40.4,153.7,1.54,0.78,74217.85,1786423.65
Perambalur,Maize,Samba / Thaladi (Main Rice Season),Red Loam,Canal Irrigation,12.03,24.4,71.4,603.5,6.9,174.7,97.7,55.6,1.24,1.04,4502.27,54162.31
Virudhunagar,Red Gram,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Well / Tube Well,12.02,22.7,67.6,637.3,8.06,21.8,52.8,24.6,0.85,0.59,580.64,6979.29
Karur,Kodo Millet,Purattasi Pattam (Autumn),Sandy Soil,Sprinkler,7.56,37.8,62.1,436.3,7.12,46.8,29.2,44.6,1.71,0.96,673.4,5090.9
Chennai,Cauliflower,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Drip Irrigation,6.68,20.6,77.8,783.0,6.73,190.0,129.2,159.6,0.39,0.93,21600.0,144288.0
Tiruvallur,Drumstick (Moringa),Kar (Early Monsoon),Red Loam,Rainfed,11.82,29.4,82.5,617.6,6.63,81.9,45.1,75.7,0.29,0.74,14361.99,169758.72
Tiruppur,French Beans,Navarai / Sornavari (Summer Rice & Pulses),Clay Soil,Well / Tube Well,5.49,21.2,51.7,655.6,6.49,58.1,115.6,42.3,1.08,1.05,6187.46,33969.16
Tiruppur,Cardamom,Chithirai Pattam (Summer),Red Loam,Rainfed,20.08,19.9,66.9,2839.3,5.63,86.4,78.5,138.8,1.34,0.58,358.61,7200.89
Vellore,Paddy,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Canal Irrigation,24.81,32.8,69.6,1076.8,6.18,155.9,31.0,36.0,1.66,0.7,3466.07,85993.2
Kancheepuram,Little Millet,Thai Pattam (Winter / Post-Monsoon),Alluvial,Rainfed,17.78,33.0,61.3,442.1,7.35,25.5,9.0,41.0,0.86,0.71,651.85,11589.89
Kanniyakumari,Onion,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Sprinkler,5.17,19.9,70.9,710.0,6.45,40.8,73.1,76.3,1.16,0.91,7721.79,39921.65
Cuddalore,Foxtail Millet,Purattasi Pattam (Autumn),Sandy Soil,Drip Irrigation,23.39,35.5,49.7,296.6,6.44,39.5,21.2,24.0,1.01,0.97,857.32,20052.71
Ramanathapuram,Castor,Kar (Early Monsoon),Clay Soil,Canal Irrigation,11.44,24.6,67.0,673.3,7.25,48.9,33.4,44.2,0.97,0.6,771.84,8829.85
Tiruvarur,Mango,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Drip Irrigation,21.81,32.2,70.4,1259.5,6.82,391.0,272.0,383.1,1.77,0.53,8742.46,190673.05
Nagapattinam,Turmeric,Kar (Early Monsoon),Sandy Soil,Well / Tube Well,8.3,27.4,69.5,1128.3,6.44,145.2,50.2,138.8,0.96,1.04,10903.35,90497.81
Thanjavur,Turmeric,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Sprinkler,24.14,25.9,49.0,1009.1,7.09,143.6,66.4,125.8,0.4,1.07,11950.06,288474.45
Dindigul,Banana,Kar (Early Monsoon),Clay Soil,Well / Tube Well,13.39,26.5,86.0,1561.0,7.39,189.0,50.3,305.2,0.93,0.89,25287.16,338595.07
Kancheepuram,Coriander,Chithirai Pattam (Summer),Clay Soil,Drip Irrigation,8.79,20.6,56.0,343.2,7.12,43.5,46.4,5.7,1.31,0.84,473.08,4158.37
Salem,Amla (Indian Gooseberry),Kar (Early Monsoon),Sandy Soil,Drip Irrigation,15.86,33.4,68.7,861.0,7.46,234.9,164.8,222.4,1.62,0.72,12770.52,202540.45
Chennai,Cabbage,Samba / Thaladi (Main Rice Season),Clay Loam,Canal Irrigation,15.96,22.2,83.8,585.8,6.59,227.8,82.8,168.4,1.67,1.1,24717.53,394491.78
Dharmapuri,Cucumber,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Well / Tube Well,11.37,25.2,64.2,466.9,6.79,56.5,25.7,29.4,1.31,1.03,8878.89,100952.98
Ranipet,Sorghum,Kar (Early Monsoon),Red Loam,Drip Irrigation,9.28,37.0,68.5,577.4,7.3,103.8,33.5,38.6,0.89,0.53,1861.12,17271.19
Viluppuram,Coriander,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Canal Irrigation,4.79,22.9,62.2,502.7,7.96,20.8,25.4,25.6,1.18,0.64,393.42,1884.48
Kanniyakumari,Bottle Gourd,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Canal Irrigation,11.8,33.9,80.9,544.9,6.73,47.8,36.6,46.3,0.61,0.54,15523.99,183183.08
Tirunelveli,Paddy,Purattasi Pattam (Autumn),Sandy Loam,Well / Tube Well,11.32,34.2,60.5,1365.6,6.68,134.8,53.3,36.2,0.75,0.79,3130.46,35436.81
Thoothukudi,Green Peas,Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Sprinkler,21.21,15.9,74.5,665.7,6.58,47.7,17.3,78.7,0.52,0.64,2822.38,59862.68
Dindigul,Onion,Aadi Pattam (Monsoon Sowing),Sandy Soil,Rainfed,9.29,22.2,52.5,490.6,7.22,53.0,65.2,58.8,0.67,0.87,4354.08,40449.4
The Nilgiris,Maize,Purattasi Pattam (Autumn),Red Loam,Rainfed,21.69,26.8,80.0,496.0,6.53,91.6,58.0,97.5,1.45,1.08,2552.62,55366.33
Tiruppur,Beetroot,Kar (Early Monsoon),Alluvial,Canal Irrigation,15.37,20.3,64.1,533.1,7.93,65.7,66.5,125.8,0.76,0.83,10515.19,161618.47
Namakkal,French Beans,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Well / Tube Well,22.63,19.6,67.1,626.4,6.13,59.1,76.0,68.3,1.23,0.58,6971.1,157755.99
Chennai,Cardamom,Samba / Thaladi (Main Rice Season),Laterite Soil,Canal Irrigation,2.71,19.3,79.0,2410.2,5.66,93.7,20.7,202.2,0.67,0.91,422.25,1144.3
Madurai,Red Gram,Aadi Pattam (Monsoon Sowing),Laterite Soil,Rainfed,12.79,31.4,75.4,600.2,6.78,21.1,73.9,20.2,0.64,0.47,712.58,9113.9
Tirupathur,Grapes,Kar (Early Monsoon),Alluvial,Drip Irrigation,20.2,28.0,69.8,709.5,7.16,320.2,147.8,305.0,0.95,0.41,21392.45,432127.49
Nagapattinam,Mango,Kar (Early Monsoon),Sandy Soil,Rainfed,9.46,33.9,75.7,1242.4,5.99,563.3,142.7,407.6,1.47,0.36,6557.04,62029.6
Erode,Cabbage,Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Drip Irrigation,14.82,18.3,71.9,689.5,6.69,210.5,111.3,118.9,1.52,1.06,23121.49,342660.48
